row	language	stars	forks	issues	watchers	license	lines	score
1	Swift	0	0	0	150	BSD 2-Clause 'Simplified' License	66593	0.3932422717469446
2	Go	22428	0	0	142	Apache License 2.0	890871	0.5377426312005751
3	Java	0	0	0	351	MIT License	1476223	0.5945363048166786
4	Scala	14246	1937	706	178	Apache License 2.0	29107	0.6829618979151689
5	HTML/CSS	5240	0	0	0	MIT License	1408671	0.3774263120057513
6	SQL	11474	1295	0	110	GNU Lesser General Public License v2.1	744086	0.6110711718188354
7	JavaScript	0	1302	0	0	MIT License	164359	0.30337886412652765
8	C++	0	2705	1392	0	MIT License	1891496	0.5025161754133717
9	HTML/CSS	7761	0	304	126	GNU Lesser General Public License v3.0	1473489	0.7160316319194824
10	Objective-C	0	6817	1190	228	GNU General Public License v3.0	1357381	0.7677929547088426
11	SQL	0	5070	297	97	The Unlicense	1479745	0.6534867002156722
12	Java	3472	5757	0	29	GNU General Public License v3.0	1508970	0.19194823867721061
13	SQL	0	315	587	0	MIT License	866580	0.5923795830337887
14	Python	13704	0	0	10	GNU General Public License v3.0	31825	0.3680805176132279
15	SQL	15769	5565	854	100	GNU General Public License v3.0	580797	0.6664270309130123
16	C++	11998	0	0	155	BSD 3-Clause 'New' or 'Revised' License	583345	0.44716031631919484
17	Java	0	0	0	31	MIT License	1634683	0.6268871315600286
18	Python	3553	184	130	147	MIT License	307622	0.3637670740474479
19	JavaScript	8043	0	0	0	MIT License	1532060	0.6182602444284686
20	Python	13923	0	501	0	MIT License	882459	0.11861969805895038
21	Scala	4528	181	0	0	Apache License 2.0	1156954	0.35873472322070454
22	TypeScript	0	0	949	266	MIT License	2018676	0.6534867002156722
23	C	6473	1854	143	183	MIT License	983778	0.6491732566498922
24	HTML/CSS	0	843	0	0	GNU General Public License v3.0	551254	0.47951114306254494
25	Ruby	0	0	0	134	GNU General Public License v3.0	89733	0.4040258806613947
26	C++	0	5715	0	124	BSD 2-Clause 'Simplified' License	54227	0.6168224299065421
27	Scala	9991	6318	506	0	MIT License	249471	0.6930265995686556
28	Rust	20512	3952	0	525	GNU General Public License v2.0	1764060	0.7167505391804456
29	Java	6855	0	1605	0	MIT License	3427496	0.5262401150251618
30	Python	1933	2878	632	139	Apache License 2.0	1284515	0.33572969086987775
31	Objective-C	14501	0	0	104	MIT License	93801	0.5168943206326384
32	C#	10306	1657	1270	153	Apache License 2.0	1561710	0.7340043134435658
33	Java	20212	6093	0	85	MIT License	302772	0.732566498921639
34	PHP	30797	0	1135	0	BSD 2-Clause 'Simplified' License	1257970	0.6196980589503953
35	HTML/CSS	37909	0	0	149	BSD 3-Clause 'New' or 'Revised' License	12018	0.4996405463695184
36	Python	14752	1273	315	125	MIT License	53792	0.18835370237239396
37	Kotlin	0	0	0	71	MIT License	872091	0.26240115025161753
38	SQL	0	1426	0	0	MIT License	968253	0.3781452192667146
39	Kotlin	21642	3797	0	371	Apache License 2.0	473085	0.3501078360891445
40	HTML/CSS	13366	0	0	64	MIT License	460124	0.779295470884256
41	MATLAB	3953	0	0	126	GNU General Public License v3.0	589737	0.3932422717469446
42	JavaScript	0	0	57	0	MIT License	1525224	0.5729690869877785
43	Python	0	1271	0	39	Apache License 2.0	424449	0.42415528396836805
44	Ruby	0	0	0	0	MIT License	248646	0.36161035226455784
45	JavaScript	0	1371	0	0	MIT License	1400684	0.4823867721063983
46	Scala	1099	916	1134	0	MIT License	1013974	0.5988497483824586
47	TypeScript	15516	0	0	0	BSD 2-Clause 'Simplified' License	1585209	0.5708123652048885
48	SQL	0	3343	0	0	MIT License	464511	0.38605319913731123
49	JavaScript	31350	0	657	0	MIT License	726810	0.7131560028756291
50	C++	4898	0	0	135	Apache License 2.0	206401	0.5305535585909418
51	C#	5402	0	0	98	MIT License	1176039	0.5319913731128685
52	Objective-C	20126	0	0	241	MIT License	104561	0.24658519051042413
53	Python	3694	0	0	0	MIT License	54929	0.36520488856937455
54	Ruby	0	0	0	169	MIT License	1143205	0.6146657081236521
55	JavaScript	18157	0	1010	204	BSD 3-Clause 'New' or 'Revised' License	1702265	0.7189072609633357
56	VBA	33212	991	293	23	BSD 3-Clause 'New' or 'Revised' License	56083	0.6132278936017254
57	SQL	0	4568	580	134	BSD 3-Clause 'New' or 'Revised' License	795606	0.8281811646297627
58	PHP	0	1718	0	173	BSD 3-Clause 'New' or 'Revised' License	1057200	0.7951114306254494
59	C++	0	4922	256	0	Apache License 2.0	1047380	0.5499640546369517
60	HTML/CSS	25313	0	462	0	GNU Lesser General Public License v2.1	3086877	0.3975557153127246
61	Go	0	0	1018	0	Apache License 2.0	556333	0.6391085549964055
62	C++	44149	1375	0	0	BSD 3-Clause 'New' or 'Revised' License	804662	0.4399712437095615
63	MATLAB	0	0	464	286	Apache License 2.0	1476294	0.3306973400431344
64	SQL	0	645	680	216	MIT License	1582754	0.6578001437814522
65	SQL	6091	3793	44	269	MIT License	194323	0.6649892163910855
66	HTML/CSS	0	0	1335	0	GNU General Public License v3.0	659479	0.7419122933141625
67	Java	10207	860	149	0	MIT License	988603	0.35945363048166784
68	Objective-C	26609	0	1136	80	MIT License	1486007	0.5945363048166786
69	VBA	0	3955	2055	177	BSD 3-Clause 'New' or 'Revised' License	5565193	0.43637670740474477
70	Python	10755	0	0	136	GNU General Public License v2.0	1313607	0.4406901509705248
71	TypeScript	33602	0	0	83	MIT License	6858	0.3076923076923077
